name,recommendation,category,keyword,reason,info,usage,precaution
비타민 C,추천,흡연,yes,"흡연은 체내 비타민 C 수치를 감소시키므로, 추가적인 섭취가 필요할 수 있습니다.",,,
비타민 D,추천,건강관심사,뼈 건강,칼슘과 인의 흡수를 증가시켜 뼈 밀도를 유지하는 데 필수적입니다.,"뼈 건강을 책임지는 필수 영양소예요. 칼슘 흡수를 도와 뼈를 튼튼하게 하고, 면역 기능에도 기여해요.",기름진 음식과 함께 섭취하면 흡수율이 상승합니다. 아침이나 점심에 복용하는 것이 좋아요.,과다 섭취 시 신장 결석 위험이 증가할 수 있습니다.
비타민 D,추천,건강관심사,면역 기능,면역세포 활성화에 관여하여 감염 예방 및 면역 균형 유지에 도움을 줍니다.,,,
비타민 D,추천,건강문제,골다공증,"칼슘 흡수를 도와 뼈를 튼튼하게 유지하며, 골다공증 예방에 기여합니다.",,,
비타민 D,추천,임신,임신 중,태아의 뼈 발달을 위해 필요합니다.,,,
비타민 D,추천,임신,수유 중,칼슘 흡수를 도와 모체와 아기의 뼈 건강을 지원합니다.,,,
비타민 D,추천,임신,완경기,골다공증 예방을 위해 중요합니다.,,,
비타민 E,추천,건강관심사,노화/항산화,세포막을 보호하여 활성산소로부터 세포 손상을 줄이고 노화 방지에 기여합니다.,"항산화 작용으로 세포를 보호하고, 피부 건강과 노화 방지에 도움이 될 수 있어요.",지용성 비타민으로 기름과 함께 먹으면 흡수가 잘됩니다.,비타민 E를 과도하게 섭취하면 출혈 위험이 증가할 수 있으므로 권장량을 준수해야 합니다.​
비타민 E,주의,건강관심사,체지방 개선,"지용성 비타민으로, 과다 섭취 시 지방 조직에 축적되어 체지방 감소 목표에 부정적 영향을 줄 수 있습니다.",,,
비타민 E,추천,건강관심사,피부 건강,피부 보습과 세포 재생을 도와 피부 탄력을 유지합니다.,,,
비타민 E,추천,건강문제,간질환,항산화 작용으로 간 세포를 보호하는 데 도움을 줄 수 있습니다.,,,
비타민 E,추천,흡연,yes,항산화 작용을 통해 흡연으로 인한 산화 스트레스를 완화하는 데 도움이 될 수 있습니다.,,,
비타민 K,추천,건강관심사,뼈 건강,칼슘 대사를 조절하여 뼈 강도를 높이고 골다공증 예방에 도움을 줍니다.,뼈 건강과 혈액 응고 조절에 중요한 역할을 해요. 뼈를 튼튼하게 하고 골다공증 예방에 기여해요.,"기름진 음식과 함께 복용하면 흡수가 좋아지며, 비타민 D와 궁합이 좋습니다.",혈액 응고제(항응고제)와 함께 복용 시 전문가와 상담하세요.
비타민 K,추천,건강관심사,심혈관 건강,혈액 응고 작용을 조절하여 심혈관 질환 예방에 기여합니다.,,,
비타민 K,추천,임신,완경기,뼈 건강 유지에 도움이 됩니다.,,,
칼슘,추천,건강관심사,뼈 건강,뼈 조직의 주요 구성 성분으로 골밀도를 유지하고 골다공증 예방에 도움을 줍니다.,뼈와 치아 건강에 꼭 필요한 미네랄이에요. 근육과 신경 기능에도 관여해요.,"저녁 식사 후 섭취하면 체내 활용도가 높아지고, 마그네슘과 함께 복용하면 궁합이 좋아요!",고용량 섭취 시 신장 결석 위험이 증가할 수 있습니다.
칼슘,추천,건강관심사,치아/잇몸 건강,"치아의 법랑질 형성을 돕고, 강한 치아 구조를 유지하는 데 기여합니다.",,,
칼슘,추천,건강문제,골다공증,"뼈와 치아를 튼튼하게 유지하며, 골다공증 예방에 필수적입니다.",,,
칼슘,주의,건강문제,빈혈,과다 섭취 시 철분 흡수를 방해할 수 있으므로 주의가 필요합니다.,,,
칼슘,추천,임신,임신 중,태아의 뼈 발달을 위해 필요합니다.,,,
칼슘,추천,임신,수유 중,모체의 뼈 건강 유지와 모유를 통한 아기의 뼈 발달에 필요합니다.,,,
칼슘,추천,임신,완경기,골다공증 예방을 위해 중요합니다.,,,
구리,추천,건강관심사,혈액 건강,철분 대사를 돕고 적혈구 생성에 필수적인 역할을 합니다.,"철분 대사를 돕고, 면역력과 혈액 건강을 지원하는 중요한 미네랄이에요.","철과 같은 시점에 섭취하면 흡수가 용이합니다. 다만, 아연과는 따로 복용하는 것이 좋아요.",과다 섭취하면 신경 독성이 나타날 수 있습니다.
구리,추천,건강관심사,면역 기능,백혈구의 기능을 지원하여 감염에 대한 저항력을 높이는 데 도움을 줍니다.,,,
요오드,추천,건강관심사,갑상선 건강,"갑상선 호르몬 합성에 필수적이며, 신진대사 조절에 중요한 역할을 합니다.",갑상선 호르몬을 생성하는 데 필요해요. 신진대사를 원활하게 유지하는 데 도움을 줘요.,"아침 식사 후 섭취하는 것이 가장 좋으며, 셀레늄과 함께 복용하면 갑상선 건강에 도움이 됩니다.",
요오드,추천,건강문제,갑상선 기능 저하증,"갑상선 호르몬 생성에 필수적이며, 신진대사를 원활하게 유지하는 데 도움을 줍니다.",,,
요오드,주의,건강문제,갑상선 기능 저하증,과도한 요오드 섭취는 오히려 갑상선 기능을 억제할 수 있으므로 적정량 섭취가 필요합니다.,,,
철,추천,건강문제,빈혈,적혈구의 주요 성분인 헤모글로빈을 형성하여 산소 운반을 돕습니다.,"산소를 운반하는 적혈구 생성에 꼭 필요한 미네랄이에요. 피로감을 줄이고, 에너지를 높이는 데도 도움을 줄 수 있어요.","공복에 비타민 C와 함께 섭취하면 흡수율이 높아집니다. 단, 우유나 커피와 함께 먹으면 흡수를 방해할 수 있어요.",필요 이상으로 복용하면 철 과부하(헤모크로마토시스) 위험이 있을 수 있어요.
철,추천,건강관심사,에너지 대사,세포 내 에너지를 생성하는 과정에서 산소 운반을 지원하여 피로감을 줄입니다.,,,
철,주의,건강관심사,소화 & 장 건강,"철분은 변비를 유발할 수 있으므로, 장 건강을 중시하는 경우 섭취에 주의해야 합니다.",,,
철,추천,음주,1,알코올 섭취로 인해 특정 미네랄의 흡수가 저해되거나 손실이 증가할 수 있으므로 보충이 필요할 수 있습니다.,,,
철,추천,임신,임신 중,혈액량 증가로 인한 빈혈 예방에 도움이 됩니다.,,,
철,추천,임신,수유 중,출산 시 출혈로 인한 빈혈 예방과 에너지 유지에 중요합니다.,,,
마그네슘,추천,건강관심사,스트레스/수면,신경계를 안정시키고 근육 이완을 촉진하여 숙면을 돕습니다.,"근육과 신경 기능을 조절하고, 스트레스 완화와 수면의 질 향상에 도움을 줄 수 있어요.",저녁에 복용하면 근육 이완 효과로 숙면에 도움을 줄 수 있습니다.,과량 섭취 시 설사를 유발할 수 있습니다.
마그네슘,추천,건강관심사,근육 기능,근육 수축과 이완을 조절하여 운동 수행 능력을 향상시키고 경련을 예방합니다.,,,
마그네슘,추천,건강문제,당뇨병,인슐린 감수성을 개선하여 혈당 조절에 기여할 수 있습니다.,,,
마그네슘,추천,음주,1,알코올 섭취로 인해 특정 미네랄의 흡수가 저해되거나 손실이 증가할 수 있으므로 보충이 필요할 수 있습니다.,,,
망간,추천,건강관심사,뼈 건강,뼈 형성과 연골 유지에 관여하여 골밀도를 유지하는 데 도움을 줍니다.,뼈 건강과 항산화 작용을 돕는 미네랄이에요. 신체 대사에도 중요한 역할을 해요.,식사 후에 복용하면 흡수가 원활합니다.,
망간,추천,건강관심사,노화/항산화,항산화 효소의 활성화를 돕고 세포 손상을 방지하여 노화 예방에 기여합니다.,,,
몰리브덴,추천,건강관심사,대사 기능,"체내 해독 작용을 돕고, 단백질과 유전자 대사에 필수적인 역할을 합니다.","체내 해독 작용을 돕고, 단백질과 DNA 대사에 관여하는 미네랄이에요.","하루 1회, 음식과 함께 섭취하세요.",
인,추천,건강관심사,뼈 건강,뼈와 치아의 주요 구성 성분으로 칼슘과 함께 골밀도를 유지하는 데 필요합니다.,"뼈와 치아의 주요 구성 성분이며, 에너지를 저장하고 활용하는 데도 중요한 역할을 해요.","일반적으로 음식에서 충분히 섭취할 수 있지만, 보충제가 필요하다면 식사와 함께 드세요.",
인,추천,건강관심사,에너지 대사,"ATP(세포 에너지 저장 분자) 형성에 필수적이며, 체내 에너지 공급에 기여합니다.",,,
인,주의,건강문제,신장질환,인의 과다 섭취는 신장 기능이 저하된 경우 체내 축적되어 심각한 합병증을 유발할 수 있으므로 섭취를 조절해야 합니다.,,,
칼륨,추천,건강관심사,심혈관 건강,나트륨 배출을 촉진하여 혈압을 조절하고 심장 건강을 유지합니다.,혈압 조절과 심장 건강을 지원하는 필수 미네랄이에요. 나트륨 배출을 도와 혈압을 안정적으로 유지해요.,음식과 함께 섭취하면 위장 부담을 줄일 수 있습니다.,신장 질환이 있는 경우 고칼륨혈증 위험이 있으니 전문가와 상담하세요.
칼륨,추천,건강관심사,혈압 조절,나트륨 배출을 촉진하여 혈압을 안정적으로 유지하는 데 도움을 줍니다.,,,
칼륨,추천,건강문제,고혈압,나트륨 배출을 촉진하여 혈압 조절에 도움을 줍니다.,,,
칼륨,주의,건강문제,신장질환,칼륨의 과다 섭취는 신장 기능이 저하된 경우 체내 축적되어 심각한 합병증을 유발할 수 있으므로 섭취를 조절해야 합니다,,,
셀레늄,추천,건강관심사,면역 기능,항산화 작용으로 면역 세포의 기능을 강화하여 감염 방지에 도움을 줍니다.,"강력한 항산화 작용으로 세포를 보호하고, 노화 방지와 면역력 향상에 기여해요.","아침 식사 후 복용하면 좋으며, 비타민 E와 함께 섭취하면 항산화 효과가 상승합니다.","고용량 섭취 시 탈모, 손톱 변화, 위장 장애가 나타날 수 있어요."
셀레늄,추천,건강관심사,노화/항산화,강력한 항산화 작용으로 세포 손상을 방지하고 노화를 늦추는 데 기여합니다.,,,
아연,추천,건강관심사,면역 기능,면역세포 생성과 활동을 촉진하여 감염 예방과 면역력 강화를 돕습니다.,"면역력을 강화하고, 피부 건강을 유지하는 데 필수적인 미네랄이에요.","공복에 섭취하면 흡수율이 좋지만, 속이 불편하면 식사 후에 드세요.",과다 복용 시 면역 기능 저하나 구리 결핍이 발생할 수 있습니다.
아연,추천,건강관심사,피부 건강,피부 재생을 촉진하고 염증 반응을 조절하여 건강한 피부를 유지하는 데 기여합니다.,,,
아연,추천,건강문제,빈혈,철분과 함께 적혈구 생성에 기여할 수 있습니다.,,,
아연,추천,음주,1,알코올 섭취로 인해 특정 미네랄의 흡수가 저해되거나 손실이 증가할 수 있으므로 보충이 필요할 수 있습니다.,,,
"오메가-3(EPA, DHA)",추천,건강관심사,심혈관 건강,혈중 중성지방을 낮추고 혈관 염증을 줄여 심장 건강을 지원합니다.,심장 건강과 뇌 기능을 지원하는 필수 지방산이에요. 혈중 중성지방 수치를 낮추는 데도 도움을 줄 수 있어요.,기름진 음식과 함께 섭취하면 흡수율이 높아집니다. 산패를 막기 위해 항산화제(비타민 E)와 함께 복용하는 것도 좋아요.,혈액 응고를 억제할 수 있으니 혈액 희석제 복용 시 주의하세요.
"오메가-3(EPA, DHA)",추천,건강관심사,기억력 개선,"뇌세포막을 구성하는 주요 성분으로, 인지 기능과 기억력 유지에 도움을 줄 수 있습니다.",,,
"오메가-3(EPA, DHA)",추천,건강관심사,혈중 중성지방,혈중 중성지방 수치를 낮추고 혈관 건강을 개선하여 심혈관 질환 예방에 기여합니다.,,,
"오메가-3(EPA, DHA)",주의,건강관심사,체지방 개선,칼로리가 높아 과도한 섭취는 체지방 감소에 방해가 될 수 있습니다.,,,
"오메가-3(EPA, DHA)",추천,건강문제,고혈압,혈관 확장을 돕고 염증을 감소시켜 혈압을 낮추는 데 기여할 수 있습니다.,,,
"오메가-3(EPA, DHA)",추천,건강문제,고지혈증(콜레스테롤),중성지방 수치를 낮추고 HDL(좋은 콜레스테롤) 수치를 높이는 데 도움을 줍니다.,,,
"오메가-3(EPA, DHA)",추천,임신,수유 중,아기의 두뇌 발달과 시력 향상에 도움이 됩니다.​,,,
오메가-6(GLA),추천,건강관심사,피부 건강,피부 세포막을 보호하고 피부 장벽을 강화하는 역할을 합니다.,피부 건강과 여성 건강을 유지하는 데 필요한 지방산이에요.,음식과 함께 섭취하면 위장 부담을 줄일 수 있습니다.,
오메가-6(GLA),추천,건강관심사,여성건강,호르몬 균형을 조절하여 생리 주기 및 갱년기 증상 완화에 도움을 줄 수 있습니다.,,,
오메가-7,추천,건강관심사,피부 건강,피부 속 수분을 유지하고 점막 건강을 보호하는 역할을 합니다.,"피부와 혈관 건강을 지원하는 지방산으로, 세포막을 보호하는 역할을 해요.",식사와 함께 복용하는 것이 흡수에 유리합니다.,
오메가-7,추천,건강관심사,심혈관 건강,혈관 건강을 보호하고 혈중 콜레스테롤 수치를 조절하는 데 도움을 줄 수 있습니다.,,,
루테인,추천,건강관심사,눈 건강,황반 색소의 밀도를 유지하여 시력 저하와 노화로 인한 황반변성을 예방합니다.,눈 건강과 항산화 작용을 돕는 영양소예요. 황반변성을 예방하는 데도 도움을 줄 수 있어요.,아침 식사 후 기름진 음식과 함께 복용하면 좋습니다.,
루테인,추천,건강관심사,노화/항산화,"눈 건강을 보호하는 항산화 작용을 하며, 황반 변성과 노화로 인한 시력 저하를 예방하는 데 도움을 줍니다.",,,
라이코펜,추천,건강관심사,노화/항산화,"항산화 작용으로 전립선 세포를 보호하며, 전립선 건강 유지에 기여합니다.","강력한 항산화제로, 전립선 건강을 보호하고 노화 방지에도 기여해요.",열을 가한 토마토(토마토 소스 등)와 함께 섭취하면 흡수율이 더욱 증가합니다.,
라이코펜,추천,건강관심사,전립선 건강,강력한 항산화제로 작용하여 전립선 세포를 보호하고 전립선 건강을 유지하는 데 기여합니다.,,,
코엔자임 Q10,추천,건강관심사,심혈관 건강,미토콘드리아에서 ATP(에너지)를 생성하는 과정에서 필수적인 역할을 합니다.,세포 에너지 생성에 필수적인 영양소예요. 심혈관 건강 유지에도 도움이 될 수 있어요.,기름과 함께 섭취하면 흡수율이 높아집니다. 저녁보다는 아침이나 점심에 복용하는 것이 좋아요.,혈압을 낮추는 효과가 있어 저혈압이 있다면 주의가 필요해요.
코엔자임 Q10,추천,건강관심사,에너지 대사,미토콘드리아에서 ATP 생성 과정에 필수적으로 작용하여 세포 에너지 생산을 돕습니다.,,,
프로바이오틱스,추천,건강관심사,소화 & 장 건강,장내 유익균을 증식시켜 소화기 건강과 원활한 배변 활동을 돕습니다.,소화기 건강과 면역력 향상을 돕는 유익한 미생물이에요.,"공복에 섭취하면 장까지 살아서 갈 확률이 높아요. 다만, 위산이 강한 경우 식사 후에 드시는 것도 좋은 방법입니다.",면역 억제 치료 중이라면 감염 위험이 있을 수 있으니 상담 후 복용하세요.
프로바이오틱스,추천,건강관심사,면역 기능,장내 유익균을 증식시켜 면역세포 활성화를 돕고 면역력을 강화하는 데 기여합니다.,,,
글루코사민,추천,건강관심사,관절 건강,연골 조직을 보호하고 관절 염증을 줄여 관절의 유연성을 유지합니다.,연골 형성을 돕고 관절 건강을 지원하는 성분이에요.,음식과 함께 섭취하면 위장 부담이 줄어듭니다.,갑각류 알레르기가 있다면 성분을 꼭 확인하세요.
콘드로이틴,추천,건강관심사,관절 건강,연골 조직을 보호하고 관절 윤활을 개선하여 관절 건강을 유지하는 데 도움을 줍니다.,"연골 보호와 관절 윤활을 돕는 성분으로, 관절이 부드럽게 움직이도록 도와줘요.",글루코사민과 함께 복용하면 관절 건강에 더 도움이 됩니다.,혈액 희석제와 함께 복용하면 출혈 위험이 증가할 수 있어요.
히알루론산,추천,건강관심사,피부 건강,수분을 끌어당겨 피부를 촉촉하게 유지하고 주름 형성을 방지합니다.,피부 보습과 관절 윤활에 중요한 역할을 해요.,"공복에 섭취하면 흡수율이 높아지지만, 속이 예민하면 식사 후에 드세요.",
히알루론산,추천,건강관심사,관절 건강,관절 윤활액의 주요 성분으로 작용하여 관절의 유연성과 충격 흡수를 돕습니다.,,,
