name,recommendation,category,keyword,reason,info,usage,precaution,
크롬,추천,건강문제,당뇨병,인슐린 작용을 향상시켜 혈당 조절에 기여합니다.,"크롬은 미량 무기질로, 탄수화물과 지방 대사에 중요한 역할을 합니다.","식사와 함께 섭취하는 것이 좋으며, 고용량 섭취는 피해야 합니다.",장기 고용량 섭취 시 신장이나 간 손상 가능성이 있으므로 주의가 필요합니다.,
"오메가-3(EPA, DHA)",추천,건강문제,당뇨병,염증을 줄이고 인슐린 저항성을 완화시키는 데 도움이 됩니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
섬유소,추천,건강문제,당뇨병,혈당 상승을 완만하게 조절하고 포만감을 높여 체중 관리에 도움을 줍니다.,"섬유소는 소화되지 않고 장내에서 수분을 흡수하며, 장 건강과 대사에 긍정적인 영향을 줍니다.",물과 함께 충분히 섭취하면 장 운동과 혈당 조절 효과가 향상됩니다.,과다 섭취 시 복부 팽만이나 가스가 생길 수 있으니 천천히 늘려야 합니다.,
비타민 B1,추천,건강문제,당뇨병,당 대사에 관여하며 당뇨성 신경병증 예방에 도움을 줍니다.,비타민 B1은 탄수화물 대사에 필수적인 수용성 비타민입니다.,공복보다는 식사와 함께 복용하는 것이 흡수에 유리합니다.,고용량 복용 시 효과가 제한적일 수 있어 지속적인 관리는 필요합니다.,
비타민 E,추천,건강문제,간질환,강력한 항산화 작용으로 간세포 손상을 줄이는 데 도움을 줍니다.,비타민 E는 세포막을 보호하고 염증을 억제하는 대표적인 항산화 비타민입니다.,식사 중 지방과 함께 섭취하면 흡수율이 높아집니다.,장기간 고용량 섭취 시 출혈 위험이 증가할 수 있습니다.,
"오메가-3(EPA, DHA)",추천,건강문제,간질환,간 내 염증과 지방 축적을 감소시키는 데 도움이 됩니다.,오메가-3는 심혈관 보호와 항염 작용에 관여하는 필수 지방산입니다.,식사와 함께 섭취하면 체내 흡수율이 높아집니다.,항응고제를 복용 중이라면 복용 전 전문가 상담이 필요합니다.,
비타민 A,주의,건강문제,간질환,고용량 섭취 시 간에 독성을 유발할 수 있어 간 질환자에게는 주의가 필요합니다.,비타민 A는 시력과 피부 건강에 중요한 지용성 비타민입니다.,섭취량 조절이 어렵다면 베타카로틴 형태로 섭취하는 것이 더 안전할 수 있습니다.,"과잉 섭취 시 간 손상, 두통, 기분 변화 등의 부작용이 발생할 수 있습니다.",
철분,주의,건강문제,간질환,과다 섭취 시 간에 철이 축적되어 산화 스트레스를 증가시킬 수 있습니다.,"철은 산소 운반에 필수적인 미네랄로, 특히 여성과 임산부에게 중요합니다.",비타민 C와 함께 섭취하면 흡수율이 높아집니다.,"과잉 섭취 시 변비, 메스꺼움 등의 부작용이 있을 수 있어 식후 복용이 권장됩니다.",
"오메가-3(EPA, DHA)",추천,건강문제,지방간,간 내 중성지방 축적을 줄이고 염증을 완화하여 지방간 개선에 도움이 됩니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
비타민 E,추천,건강문제,지방간,항산화 작용으로 간세포 손상을 줄이고 비알코올성 지방간 환자에 효과적입니다.,비타민 E는 세포막을 보호하고 염증을 억제하는 대표적인 항산화 비타민입니다.,식사 중 지방과 함께 섭취하면 흡수율이 높아집니다.,장기간 고용량 섭취 시 출혈 위험이 증가할 수 있습니다.,
오메가-6(GLA),주의,건강문제,지방간,과다 섭취 시 염증을 유발하고 간의 지방 축적을 증가시킬 수 있습니다.,"오메가-6는 필수 지방산이지만, 오메가-3와의 균형이 중요합니다.","오메가-6가 많은 식용유(옥수수유, 해바라기유 등)의 사용을 줄이고, 오메가-3가 풍부한 식품을 늘리는 것이 좋습니다.",,
"오메가-3(EPA, DHA)",추천,건강문제,고지혈증(콜레스테롤),중성지방 수치를 낮추고 좋은 콜레스테롤(HDL)을 증가시켜 혈중 지질 개선에 도움을 줍니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
비타민 B3(니아신),추천,건강문제,고지혈증(콜레스테롤),"나쁜 콜레스테롤(LDL)과 중성지방을 낮추고, 좋은 콜레스테롤(HDL)을 증가시키는 데 도움을 줍니다.",비타민 B3는 에너지 대사와 혈액순환에 관여하는 수용성 비타민입니다.,고용량 보충제 복용 시에는 반드시 전문가의 지도 하에 섭취해야 합니다.,과다 복용 시 간 기능 이상이나 안면홍조 등 부작용이 있을 수 있습니다.,
오메가-6(GLA),주의,건강문제,고지혈증(콜레스테롤),과다 섭취 시 염증 반응을 유도하고 LDL 콜레스테롤을 높일 수 있습니다.,"오메가-6는 필수 지방산이지만, 오메가-3와의 섭취 비율이 매우 중요합니다.","오메가-6가 많은 튀김류, 정제유 섭취를 줄이고, 오메가-3 비중을 늘리는 것이 좋습니다.",,
콜린,주의,건강문제,고지혈증(콜레스테롤),"대사에 필요한 성분이지만, 고지혈증 환자가 과잉 섭취할 경우 간 기능에 부담이 될 수 있습니다.",콜린은 세포막 구성과 신경전달물질 합성에 중요한 필수 영양소입니다.,"달걀 노른자, 간, 콩류에 풍부하며 식사와 함께 섭취하면 좋습니다.",고용량 섭취 시 체취 증가나 위장 불편을 유발할 수 있습니다.,
"오메가-3(EPA, DHA)",추천,건강문제,고중성지방혈증,중성지방 수치를 효과적으로 낮추고 심혈관계 건강을 보호하는 데 도움을 줍니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
섬유소,추천,건강문제,고중성지방혈증,혈중 지질 수치를 개선하고 인슐린 감수성을 향상시켜 중성지방 관리에 도움을 줍니다.,"섬유소는 소화되지 않고 장내에서 수분을 흡수하며, 장 건강과 대사에 긍정적인 영향을 줍니다.",물과 함께 충분히 섭취하면 장 운동과 혈당 조절 효과가 향상됩니다.,과다 섭취 시 복부 팽만이나 가스가 생길 수 있으니 천천히 늘려야 합니다.,
오메가-6(GLA),주의,건강문제,고중성지방혈증,과잉 섭취 시 염증 유발 및 중성지방 상승의 원인이 될 수 있습니다.,"오메가-6는 필수 지방산이지만, 오메가-3와의 균형이 중요합니다.","오메가-6가 많은 식용유(옥수수유, 해바라기유 등)의 사용을 줄이고, 오메가-3가 풍부한 식품을 늘리는 것이 좋습니다.",,
프로바이오틱스,추천,건강문제,위장질환,장내 유익균을 증식시켜 위장관의 면역력과 회복력을 강화합니다.,"프로바이오틱스는 유산균, 비피더스균 등으로 구성되어 장내 환경을 개선합니다.",공복보다 식후에 섭취하는 것이 장내 정착률이 높아집니다.,항생제 복용 시 시간 간격을 두고 섭취해야 효과가 유지됩니다.,
마그네슘,주의,건강문제,위장질환,과잉 섭취 시 설사와 복통 등 위장 장애를 유발할 수 있습니다.,마그네슘은 체내 300개 이상의 효소 반응에 관여하며 신경과 근육 기능에 필수적인 미네랄입니다. 특히 심혈관 건강에 중요한 역할을 합니다.,식사 중 함께 섭취하면 흡수율이 높습니다.,과다 섭취 시 설사나 복부 경련이 생길 수 있으므로 적정량을 지켜야 합니다.,
섬유소,추천,건강문제,대장질환,장 운동을 촉진하고 대변의 부피를 늘려 장내 환경을 개선합니다.,"섬유소는 소화되지 않고 장내에서 수분을 흡수하며, 장 건강과 대사에 긍정적인 영향을 줍니다.",물과 함께 충분히 섭취하면 장 운동과 혈당 조절 효과가 향상됩니다.,과다 섭취 시 복부 팽만이나 가스가 생길 수 있으니 천천히 늘려야 합니다.,
프로바이오틱스,추천,건강문제,대장질환,유익균 증식과 장내 유해균 억제를 통해 대장 염증 및 설사 완화에 도움을 줍니다.,"프로바이오틱스는 유산균, 비피더스균 등으로 구성되어 장내 환경을 개선합니다.",공복보다 식후에 섭취하는 것이 장내 정착률이 높아집니다.,항생제 복용 시 시간 간격을 두고 섭취해야 효과가 유지됩니다.,
철분,주의,건강문제,대장질환,"과다 섭취 시 대장 점막 자극 및 변비, 염증 가능성이 있습니다.","철은 산소 운반에 필수적인 미네랄로, 특히 여성과 임산부에게 중요합니다.",비타민 C와 함께 섭취하면 흡수율이 높아집니다.,"과잉 섭취 시 변비, 메스꺼움 등의 부작용이 있을 수 있어 식후 복용이 권장됩니다.",
섬유소,추천,건강문제,변비,배변량을 늘리고 장운동을 촉진하여 변비 개선에 효과적입니다.,"섬유소는 소화되지 않고 장내에서 수분을 흡수하며, 장 건강과 대사에 긍정적인 영향을 줍니다.",물과 함께 충분히 섭취하면 장 운동과 혈당 조절 효과가 향상됩니다.,과다 섭취 시 복부 팽만이나 가스가 생길 수 있으니 천천히 늘려야 합니다.,
마그네슘,추천,건강문제,변비,장 내 수분을 끌어들여 대변을 부드럽게 만들어 배변을 쉽게 합니다.,마그네슘은 체내 300개 이상의 효소 반응에 관여하며 신경과 근육 기능에 필수적인 미네랄입니다. 특히 심혈관 건강에 중요한 역할을 합니다.,식사 중 함께 섭취하면 흡수율이 높습니다.,과다 섭취 시 설사나 복부 경련이 생길 수 있으므로 적정량을 지켜야 합니다.,
철분,주의,건강문제,변비,철분 보충제는 일반적으로 변비를 유발할 수 있습니다.,"철은 산소 운반에 필수적인 미네랄로, 특히 여성과 임산부에게 중요합니다.",비타민 C와 함께 섭취하면 흡수율이 높아집니다.,"과잉 섭취 시 변비, 메스꺼움 등의 부작용이 있을 수 있어 식후 복용이 권장됩니다.",
철분,추천,건강문제,빈혈,적혈구 생성을 도와 철 결핍성 빈혈 예방과 개선에 핵심적인 역할을 합니다.,"철은 산소 운반에 필수적인 미네랄로, 특히 여성과 임산부에게 중요합니다.",비타민 C와 함께 섭취하면 흡수율이 높아집니다.,"과잉 섭취 시 변비, 메스꺼움 등의 부작용이 있을 수 있어 식후 복용이 권장됩니다.",
비타민 B9(엽산),추천,건강문제,빈혈,적혈구 형성을 도와 빈혈 예방에 도움을 줍니다.,엽산은 세포 생성과 성장에 중요한 수용성 비타민입니다.,아침 식사와 함께 복용하면 안정적으로 흡수됩니다.,고용량을 장기간 복용하면 비타민 B12 결핍 증상을 가릴 수 있으므로 주의가 필요합니다.,
칼슘,주의,건강문제,빈혈,철분의 흡수를 방해할 수 있어 철 결핍성 빈혈에 악영향을 줄 수 있습니다.,칼슘은 뼈와 치아 건강뿐 아니라 근육 수축과 혈압 조절에도 관여하는 필수 미네랄입니다.,흡수를 위해 비타민 D와 함께 섭취하는 것이 좋습니다.,철분과 동시에 섭취 시 흡수율이 떨어질 수 있으므로 시간차를 두는 것이 좋습니다.,
비타민 D,추천,건강문제,골다공증,칼슘의 흡수를 도와 뼈 형성과 유지에 결정적인 역할을 합니다.,"비타민 D는 햇빛을 통해 체내에서 합성되며, 뼈 건강과 면역 조절에 중요합니다.",지용성 비타민이므로 식사 중 지방과 함께 섭취해야 흡수율이 높아집니다.,과잉 섭취 시 고칼슘혈증 등의 부작용이 있을 수 있어 권장량을 지켜야 합니다.,
인,주의,건강문제,골다공증,과잉 섭취 시 칼슘과의 균형을 깨뜨려 골밀도를 낮출 수 있습니다.,"인은 에너지 대사와 뼈 형성에 필요한 미네랄이지만, 가공식품에 흔히 포함되어 과잉 위험이 높습니다.",뼈 건강을 위해서는 인보다 칼슘 위주의 섭취가 권장됩니다.,,
"오메가-3(EPA, DHA)",추천,건강문제,관절염,항염 작용을 통해 관절 통증과 뻣뻣함을 줄이는 데 도움을 줍니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
비타민 D,추천,건강문제,관절염,뼈와 관절의 면역 기능을 조절하여 통증 감소에 도움을 줍니다.,"비타민 D는 햇빛을 통해 체내에서 합성되며, 뼈 건강과 면역 조절에 중요합니다.",지용성 비타민이므로 식사 중 지방과 함께 섭취해야 흡수율이 높아집니다.,과잉 섭취 시 고칼슘혈증 등의 부작용이 있을 수 있어 권장량을 지켜야 합니다.,
오메가-6(GLA),주의,건강문제,관절염,과잉 섭취 시 염증을 촉진해 관절염 증상을 악화시킬 수 있습니다.,"오메가-6는 필수 지방산이지만, 오메가-3와의 균형이 중요합니다.","오메가-6가 많은 식용유(옥수수유, 해바라기유 등)의 사용을 줄이고, 오메가-3가 풍부한 식품을 늘리는 것이 좋습니다.",,
크롬,추천,건강문제,다낭성난소증후군,인슐린 민감도를 개선하여 혈당 조절과 생리주기 정상화에 도움을 줍니다.,"크롬은 미량 무기질로, 탄수화물과 지방 대사에 중요한 역할을 합니다.","식사와 함께 섭취하는 것이 좋으며, 고용량 섭취는 피해야 합니다.",장기 고용량 섭취 시 신장이나 간 손상 가능성이 있으므로 주의가 필요합니다.,
비타민 B6,추천,건강문제,다낭성난소증후군,호르몬 균형 조절에 도움을 주어 생리 전 증상 완화와 기분 안정에 효과적입니다.,비타민 B6는 신경전달물질과 여성 호르몬 대사에 관여합니다.,하루 권장량 내에서 나눠 섭취하면 흡수율이 좋습니다.,장기간 고용량 섭취 시 신경 손상의 위험이 있으므로 반드시 적정량을 지켜야 합니다.,
비타민 D,추천,건강문제,비타민D 부족,체내 비타민 D 수치를 보충해 뼈 건강과 면역력을 향상시키는 데 효과적입니다.,"비타민 D는 햇빛을 통해 체내에서 합성되며, 뼈 건강과 면역 조절에 중요합니다.",지용성 비타민이므로 식사 중 지방과 함께 섭취해야 흡수율이 높아집니다.,과잉 섭취 시 고칼슘혈증 등의 부작용이 있을 수 있어 권장량을 지켜야 합니다.,
"오메가-3(EPA, DHA)",추천,건강문제,우울증,오메가-3는 뇌 신경전달물질의 균형을 유지하고 기분 안정에 도움을 줄 수 있습니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
비타민 A,주의,건강문제,우울증,고용량의 비타민 A는 신경계에 영향을 주어 기분 장애를 악화시킬 수 있습니다.,비타민 A는 시력과 피부 건강에 중요한 지용성 비타민입니다.,섭취량 조절이 어렵다면 베타카로틴 형태로 섭취하는 것이 더 안전할 수 있습니다.,"과잉 섭취 시 간 손상, 두통, 기분 변화 등의 부작용이 발생할 수 있습니다.",
마그네슘,추천,건강문제,불면증,마그네슘은 신경계를 안정시키고 수면의 질을 향상시키는 데 도움을 줍니다.,마그네슘은 근육 이완과 신경 전달에 관여하는 필수 미네랄입니다.,잠들기 1시간 전에 섭취하면 수면 유도에 효과적일 수 있습니다.,과량 복용 시 설사 등의 위장 장애가 나타날 수 있습니다.,
비타민 C,추천,건강문제,비염,면역 체계를 강화하고 항히스타민 작용으로 알레르기 반응을 완화하는 데 도움을 줍니다.,비타민 C는 수용성 비타민으로 항산화 작용을 하며 면역력 강화에 중요한 역할을 합니다.,하루에 나눠 섭취하면 체내 흡수율이 높아집니다.,과다 복용 시 위장 장애나 설사를 유발할 수 있으므로 1일 권장량을 초과하지 않도록 주의하세요.,
아연,추천,건강문제,백반증,멜라닌 합성과 피부 재생을 촉진하여 색소 회복에 도움을 줄 수 있습니다.,"아연은 세포 분열과 면역 기능, 피부 회복에 필수적인 미네랄입니다.",공복보다는 식사와 함께 섭취하는 것이 위 자극을 줄입니다.,고용량 아연 섭취는 구리 결핍을 유발할 수 있으니 균형 있게 섭취해야 합니다.,
철분,주의,건강문제,백반증,과도한 철분 섭취는 산화 스트레스를 유발하여 피부 조직에 부정적인 영향을 줄 수 있습니다.,"철은 산소 운반에 필수적인 미네랄로, 특히 여성과 임산부에게 중요합니다.",비타민 C와 함께 섭취하면 흡수율이 높아집니다.,"과잉 섭취 시 변비, 메스꺼움 등의 부작용이 있을 수 있어 식후 복용이 권장됩니다.",
"오메가-3(EPA, DHA)",추천,건강문제,건선,염증 반응을 억제하고 피부 상태를 개선하는 데 도움을 줄 수 있습니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
"오메가-3(EPA, DHA)",추천,건강문제,습진,항염 효과로 피부의 가려움과 염증을 완화하는 데 도움을 줍니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
비타민 B3(니아신),주의,건강문제,습진,고용량 섭취 시 피부 플러시(flushing)나 자극 증상이 악화될 수 있습니다.,나이아신은 에너지 대사에 관여하는 수용성 비타민입니다.,수용성이라 공복 섭취가 가능합니다.,과도 복용 시 얼굴 홍조나 간 기능 이상이 생길 수 있습니다.,
아연,추천,건강문제,여드름,피지 분비를 조절하고 염증성 여드름의 회복을 촉진합니다.,"아연은 세포 분열과 면역 기능, 피부 회복에 필수적인 미네랄입니다.",공복보다는 식사와 함께 섭취하는 것이 위 자극을 줄입니다.,고용량 아연 섭취는 구리 결핍을 유발할 수 있으니 균형 있게 섭취해야 합니다.,
요오드,주의,건강문제,여드름,요오드는 과다 섭취 시 여드름을 유발하거나 악화시킬 수 있습니다.,"요오드는 갑상선 기능 유지에 중요한 미네랄이지만, 일부 피부 반응과 연관 있습니다.",갑상선 기능 저하증 외에는 요오드가 많이 포함된 보충제를 피하는 것이 좋습니다.,요오드 과잉은 특히 여드름 민감성 피부에 부정적일 수 있습니다.,
비타민 D,추천,건강문제,아토피 피부염,면역 조절 기능을 통해 염증을 억제하고 피부 장벽을 강화하는 데 도움을 줍니다.,"비타민 D는 햇빛을 통해 체내에서 합성되며, 뼈 건강과 면역 조절에 중요합니다.",지용성 비타민이므로 식사 중 지방과 함께 섭취해야 흡수율이 높아집니다.,과잉 섭취 시 고칼슘혈증 등의 부작용이 있을 수 있어 권장량을 지켜야 합니다.,
비타민 A,주의,건강문제,아토피 피부염,고용량 비타민 A는 피부 건조와 자극을 유발해 증상을 악화시킬 수 있습니다.,비타민 A는 시력과 피부 건강에 중요한 지용성 비타민입니다.,섭취량 조절이 어렵다면 베타카로틴 형태로 섭취하는 것이 더 안전할 수 있습니다.,"과잉 섭취 시 간 손상, 두통, 기분 변화 등의 부작용이 발생할 수 있습니다.",
비타민 C,추천,건강문제,폐질환,폐조직 손상을 줄이고 호흡기 면역력을 강화하는 데 도움을 줍니다.,비타민 C는 수용성 비타민으로 항산화 작용을 하며 면역력 강화에 중요한 역할을 합니다.,하루에 나눠 섭취하면 체내 흡수율이 높아집니다.,과다 복용 시 위장 장애나 설사를 유발할 수 있으므로 1일 권장량을 초과하지 않도록 주의하세요.,
오메가-6(GLA),주의,건강문제,폐질환,과다 섭취 시 염증을 촉진하여 만성 폐질환의 진행을 악화시킬 수 있습니다.,"오메가-6는 필수 지방산이지만, 비율이 불균형할 경우 건강에 해로울 수 있습니다.",섭취를 줄이고 오메가-3와의 비율을 1:1 또는 1:2 수준으로 맞추는 것이 권장됩니다.,가공식품에 많이 포함되어 있어 과잉 섭취하기 쉬우므로 주의해야 합니다.,
마그네슘,추천,건강문제,뇌전증,신경 전달을 안정화하고 발작 위험을 낮추는 데 도움을 줄 수 있습니다.,마그네슘은 체내 300개 이상의 효소 반응에 관여하며 신경과 근육 기능에 필수적인 미네랄입니다. 특히 심혈관 건강에 중요한 역할을 합니다.,식사 중 함께 섭취하면 흡수율이 높습니다.,과다 섭취 시 설사나 복부 경련이 생길 수 있으므로 적정량을 지켜야 합니다.,
오메가-6(GLA),주의,건강문제,뇌전증,염증 반응을 증가시켜 신경 과민 상태를 유발할 수 있습니다.,"오메가-6는 필수 지방산이지만, 오메가-3와의 균형이 중요합니다.","오메가-6가 많은 식용유(옥수수유, 해바라기유 등)의 사용을 줄이고, 오메가-3가 풍부한 식품을 늘리는 것이 좋습니다.",항경련 약물 복용 중에는 지방 섭취 균형이 더욱 중요합니다.,
루테인,추천,건강문제,백내장,안구의 황반을 보호하고 산화 스트레스를 줄여 백내장 발생 위험을 낮춥니다.,"루테인은 눈 건강에 중요한 카로티노이드로, 특히 노화성 안질환 예방에 유효합니다.",지용성이므로 식사 중 지방과 함께 섭취하면 흡수율이 높아집니다.,"루테인만 과다 복용해도 특별한 부작용은 드물지만, 복합 보충제와 병용 시 주의하세요.",
비타민 A,주의,건강문제,백내장,고용량 비타민 A는 장기적으로 안압 증가나 시각 이상을 초래할 수 있습니다.,비타민 A는 시력과 피부 건강에 중요한 지용성 비타민입니다.,섭취량 조절이 어렵다면 베타카로틴 형태로 섭취하는 것이 더 안전할 수 있습니다.,"과잉 섭취 시 간 손상, 두통, 기분 변화 등의 부작용이 발생할 수 있습니다.",
"오메가-3(EPA, DHA)",추천,건강문제,녹내장,안압을 낮추고 망막 혈류를 개선하여 녹내장 진행을 늦추는 데 도움이 됩니다.,오메가-3는 불포화지방산의 일종으로 심혈관 건강을 지원하며 염증을 조절하는 역할을 합니다.,식후에 섭취하면 흡수가 잘 됩니다.,항응고제를 복용 중인 경우 출혈 위험이 증가할 수 있어 주의해야 합니다.,
비타민 A,주의,건강문제,녹내장,고용량 비타민 A는 안압을 증가시킬 수 있어 녹내장 환자에게 부정적인 영향을 줄 수 있습니다.,비타민 A는 시력과 피부 건강에 중요한 지용성 비타민입니다.,섭취량 조절이 어렵다면 베타카로틴 형태로 섭취하는 것이 더 안전할 수 있습니다.,"과잉 섭취 시 간 손상, 두통, 기분 변화 등의 부작용이 발생할 수 있습니다.",
요오드,추천,건강문제,갑상선 기능 저하증,"갑상선 호르몬 합성에 필수적인 원소로, 결핍 시 기능 저하가 악화될 수 있습니다.","요오드는 갑상선 기능 유지에 중요한 미네랄이지만, 일부 피부 반응과 연관 있습니다.",갑상선 기능 저하증 외에는 요오드가 많이 포함된 보충제를 피하는 것이 좋습니다.,요오드 과잉은 특히 여드름 민감성 피부에 부정적일 수 있습니다.,
셀레늄,추천,건강문제,갑상선 기능 저하증,갑상선 호르몬의 대사와 항산화 작용에 관여하여 갑상선 기능을 보조합니다.,"셀레늄은 티로이드 효소의 작용을 돕는 미네랄이며, 면역 조절에도 관여합니다.","하루 권장량을 넘기지 않도록 식사 중 보충이 좋으며, 견과류나 해산물에 풍부합니다.","고용량 장기 복용 시 탈모, 손톱 이상, 신경 증상 등이 나타날 수 있습니다.",
콩이소플라본 (※보충제 섭취 시 주의),주의,건강문제,갑상선 기능 저하증,이소플라본은 갑상선 호르몬의 작용을 방해할 수 있어 기능 저하증 환자에게 적합하지 않을 수 있습니다.,"콩이소플라본은 식물성 에스트로겐의 일종으로, 호르몬에 민감한 작용을 할 수 있습니다.","소량의 식품 섭취는 무관하나, 고용량 보충제는 피하는 것이 바람직합니다.",특히 갑상선 약물을 복용 중인 경우 복용 간격을 두는 것이 좋습니다.,
크롬,추천,건강관심사,임신성 당뇨,인슐린 감수성을 높여 혈당 조절에 도움을 줄 수 있습니다.,"크롬은 미량 무기질로, 탄수화물과 지방 대사에 중요한 역할을 합니다.","식사와 함께 섭취하는 것이 좋으며, 고용량 섭취는 피해야 합니다.",장기 고용량 섭취 시 신장이나 간 손상 가능성이 있으므로 주의가 필요합니다.,
